Device:  cuda
Train Epoch: 1 [69120/103818 (67%)]	Train Loss: 3.785269	Val Loss: 3.607674	Val Acc: 16.40625
Train Epoch: 1 [70400/103818 (68%)]	Train Loss: 3.692336	Val Loss: 3.651600	Val Acc: 15.3125
Train Epoch: 1 [71680/103818 (69%)]	Train Loss: 3.748195	Val Loss: 3.671848	Val Acc: 15.9375
Train Epoch: 1 [72960/103818 (70%)]	Train Loss: 3.651233	Val Loss: 3.628887	Val Acc: 16.09375
Train Epoch: 1 [74240/103818 (71%)]	Train Loss: 3.613153	Val Loss: 3.605404	Val Acc: 15.0
Train Epoch: 1 [75520/103818 (73%)]	Train Loss: 3.731349	Val Loss: 3.664497	Val Acc: 14.0625
Train Epoch: 1 [76800/103818 (74%)]	Train Loss: 3.652758	Val Loss: 3.539105	Val Acc: 14.53125
Train Epoch: 1 [78080/103818 (75%)]	Train Loss: 3.528883	Val Loss: 3.652311	Val Acc: 14.84375
Train Epoch: 1 [79360/103818 (76%)]	Train Loss: 3.640579	Val Loss: 3.572868	Val Acc: 15.78125
Train Epoch: 1 [80640/103818 (78%)]	Train Loss: 3.733081	Val Loss: 3.621253	Val Acc: 15.78125
Train Epoch: 1 [81920/103818 (79%)]	Train Loss: 3.621835	Val Loss: 3.569586	Val Acc: 16.40625
Train Epoch: 1 [83200/103818 (80%)]	Train Loss: 3.298493	Val Loss: 3.443689	Val Acc: 19.84375
Train Epoch: 1 [84480/103818 (81%)]	Train Loss: 3.650233	Val Loss: 3.568357	Val Acc: 16.5625
Train Epoch: 1 [85760/103818 (83%)]	Train Loss: 3.631555	Val Loss: 3.462580	Val Acc: 16.25
Train Epoch: 1 [87040/103818 (84%)]	Train Loss: 3.651816	Val Loss: 3.533852	Val Acc: 15.3125
Train Epoch: 1 [88320/103818 (85%)]	Train Loss: 3.656910	Val Loss: 3.469447	Val Acc: 20.46875
Train Epoch: 1 [89600/103818 (86%)]	Train Loss: 3.533940	Val Loss: 3.484643	Val Acc: 16.71875
Train Epoch: 1 [90880/103818 (87%)]	Train Loss: 3.578409	Val Loss: 3.533546	Val Acc: 18.59375
Train Epoch: 1 [92160/103818 (89%)]	Train Loss: 3.426140	Val Loss: 3.524126	Val Acc: 17.34375
Train Epoch: 1 [93440/103818 (90%)]	Train Loss: 3.554972	Val Loss: 3.438325	Val Acc: 17.03125
Train Epoch: 1 [94720/103818 (91%)]	Train Loss: 3.534091	Val Loss: 3.520908	Val Acc: 14.53125
Train Epoch: 1 [96000/103818 (92%)]	Train Loss: 3.454037	Val Loss: 3.550707	Val Acc: 16.71875
Train Epoch: 1 [97280/103818 (94%)]	Train Loss: 3.221528	Val Loss: 3.527900	Val Acc: 15.78125
Train Epoch: 1 [98560/103818 (95%)]	Train Loss: 3.411439	Val Loss: 3.503292	Val Acc: 16.875
Train Epoch: 1 [99840/103818 (96%)]	Train Loss: 3.553088	Val Loss: 3.463287	Val Acc: 17.1875
Train Epoch: 1 [101120/103818 (97%)]	Train Loss: 3.440542	Val Loss: 3.697060	Val Acc: 11.5625
Train Epoch: 1 [102400/103818 (99%)]	Train Loss: 3.426504	Val Loss: 3.402184	Val Acc: 18.125
Train Epoch: 1 [103680/103818 (100%)]	Train Loss: 3.676942	Val Loss: 3.361562	Val Acc: 18.75
Saving better model  18.75
Train Epoch: 2 [0/103818 (0%)]	Train Loss: 3.285461	Val Loss: 3.402410	Val Acc: 18.75
Train Epoch: 2 [1280/103818 (1%)]	Train Loss: 3.497743	Val Loss: 3.511308	Val Acc: 16.09375
